Category,Function Name,Arguments,Result Type,Explanation,Examples
,,,,,"Hours([Test Length in Hours]) converts the numeric value in the Test Length in Hours field into a duration expressed in hours. The number doesn't change, just the data type."
Type Conversion,HTMLToText,(Text t),Text,Takes HTML text input and returns plain text content.,"HTMLToText(""<b>Foo</b>"") returns ""Foo"""
Special,If,"(Boolean condition1, <any> result1, ..., <any> else-result)",<same type as result1>,"If condition1 is true, returns result1, otherwise returns else-result. You can include additional condition/result pairs before the final else-result (as in the first example). QuickBase evaluates the conditions in sequence until one is found to be true, and then the corresponding result is returned. The else-result is optional. If omitted, QuickBase assumes it's null (or empty - a blank). All conditions must be of type Boolean (return a true or a false). Results may be of any type, but they must all be the same type.","If([Grade]=""A"", 100, [Grade]=""B"", 90)"
,,,,,
,,,,,"This formula says: if the value in the Grade field is A, then return 100. If the value in the Grade field is B, then return 90."
,,,,,
,,,,,"IF([Order Complete]=TRUE, [Subtotal] + [Tax], null)"
,,,,,
,,,,,"This formula says: If the Order Complete checkbox is on, then add the value in the subtotal field to the value in the tax field and display it. If not, then leave the field empty (or null)."
,,,,,
Special,Includes,"(UserList ul, UserList ul1,UserList ul2 ..)",Boolean,"This function takes 2 or more list-user field types as arguments and returns true if the contents of all the the arguments together, except for the first, are included in the contents of first argument; false otherwise.","Includes ([Assigned To] , [Manager], [Employee])"
,,,,,
,,,,,This will return true if all the users in the Manager field and Employee field are selected for Assigned To field.
Numbers,Int,(Number n),Number,"Returns the integer part of Number n. Note that if n is a negative fraction, the result is closer to 0 than n is (compare to function Floor).",Int(3.6) returns 3
,,,,,Int(3) returns 3
,,,,,Int(-3.6) returns -3
Dates,IsLeapDay,(Date d),Boolean,Returns true if d is February 29.,IsLeapDay([Date Due]) returns true if the value in the Date Due field falls on a leap day like 2/29/08.
Dates,IsLeapYear,(Date d),Boolean,Returns true if the date d falls in a leap year.,"IsLeapYear([Release Date]) returns true if the date in the Release Date field falls in a leap year like 2008. If it occurs in a non leap year, like 2007, the result is false."
Dates,IsLeapYear,(Number y),Boolean,Returns true if the year y is a leap year.,IsLeapYear(2007) returns false.
,,,,,IsLeapYear(2008) returns true.
Null Handling,IsNull,(<any> x),Boolean,"Null means that a field's value is undefined. In other words, no one has entered any data in that particular field. It's empty. Its value is null. The result of this function is true if x is null, otherwise false. The argument x may be of any data type (except text or boolean).",IsNull([Start Date]) returns true if the field named Start Date is undefined or empty.
,,,,,IsNull(3.4) returns false
Special,IsUserEmail,(Text x),Boolean,Returns true if x is the email address of the current user.,"IsUserEmail(""john_smith@example.com"") would return true if John Smith were accessing the table containing the formula field."
